-Участковая избирательная комиссия №1612	ТИК № 54	Шабашов Вадим Анатольевич	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №1622	ТИК № 54	Иванов Юрий Евгеньевич	Член	"Местное отделение Всероссийской политической партии ""ЕДИНАЯ РОССИЯ"" муниципального образования муниципального округа Кронверкское"
+Участковая избирательная комиссия №1622	ТИК № 54	Иванова Татьяна Васильевна	Член	Петроградское местное (районное) отделение Санкт-Петербургского городского отделения политической партии «Коммунистическая партия Российской Федерации»
-Участковая избирательная комиссия №1622	ТИК № 54	Лебедева Надежда Владимировна	Член	"Региональное отделение Всероссийской политической партии ""Союз Труда"" в Санкт-Петербурге"
-Участковая избирательная комиссия №1622	ТИК № 54	Подольская Верена-Аглая Владимировна	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №1622	ТИК № 54	Подольская Верена-Аглая Владимировна	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №1622	ТИК № 54	Цыба Алексей Георгиевич	Член	"Региональное отделение Политической партии ""Трудовая партия России"" в Санкт-Петербурге"
-Участковая избирательная комиссия №1623	ТИК № 54	Корнеева Марина Анатольевна	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №1623	ТИК № 54	Корнеева Марина Анатольевна	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
+Участковая избирательная комиссия №1623	ТИК № 54	Мурашев Анатолий Геннадьевич	Член	собрание избирателей по месту жительства
-Участковая избирательная комиссия №1623	ТИК № 54	Спичкина Елена Степановна	Член	представительный орган муниципального образования
-Участковая избирательная комиссия №1624	ТИК № 54	Гвоздеев Владимир Валерьевич	Член	"Региональное отделение в Санкт-Петербурге Политической партии ""Российская экологическая партия ""Зелёные"""
-Участковая избирательная комиссия №1624	ТИК № 54	Зюзина Ирина Анатольевна	Член	представительный орган муниципального образования
+Участковая избирательная комиссия №1624	ТИК № 54	Виноградова Анна Сергеевна	Член	Петроградское местное (районное) отделение Санкт-Петербургского городского отделения политической партии «Коммунистическая партия Российской Федерации»
+Участковая избирательная комиссия №1624	ТИК № 54	Дмитриева Юлия Петровна	Член	представительный орган муниципального образования
-Участковая избирательная комиссия №1624	ТИК № 54	Мясоедова Галина Валентиновна	Член	Петроградское местное (районное) отделение Санкт-Петербургского городского отделения политической партии «Коммунистическая партия Российской Федерации»
-Участковая избирательная комиссия №1624	ТИК № 54	Рудакова Екатерина Андреевна	Член	"Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""
-Участковая избирательная комиссия №1624	ТИК № 54	Самойлов Андрей Станиславович	Член	представительный орган муниципального образования
+Участковая избирательная комиссия №1624	ТИК № 54	Прокофьев Александр Александрович	Член	"Санкт-Петербургское региональное отделение политической партии ""Российская объединенная демократическая партия ""ЯБЛОКО"""
+Участковая избирательная комиссия №1624	ТИК № 54	Решетов Антон Сергеевич	Член	представительный орган муниципального образования
+Участковая избирательная комиссия №1624	ТИК № 54	Танкович Ирина Игоревна	Член	представительный орган муниципального образования
-Участковая избирательная комиссия №1625	ТИК № 54	Лапшин Василий Петрович	Член	"Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""
+Участковая избирательная комиссия №1625	ТИК № 54	Кочубеева Александра Владимировна	Член	собрание избирателей по месту жительства
-Участковая избирательная комиссия №1625	ТИК № 54	Уляшева Софья Андреевна	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №1625	ТИК № 54	Уляшева Софья Андреевна	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №1644	ТИК № 54	Закарян Артур Аркадяевич	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №1644	ТИК № 54	Закарян Артур Аркадяевич	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №1646	ТИК № 54	Таннер Елена Феликсовна	Председатель	"Региональное отделение в Санкт-Петербурге Всероссийской политической партии ""ПАРТИЯ РОСТА"""
-Участковая избирательная комиссия №1646	ТИК № 54	Бородина Марина Григорьевна	Зам.председателя	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №1646	ТИК № 54	Горбунов Максим Андреевич	Председатель	"Местное отделение Всероссийской политической партии ""ЕДИНАЯ РОССИЯ"" муниципального образования муниципального округа округ Петровский"
+Участковая избирательная комиссия №1646	ТИК № 54	Бородина Марина Григорьевна	Зам.председателя	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №1646	ТИК № 54	Горбунов Максим Андреевич	Член	"Местное отделение Всероссийской политической партии ""ЕДИНАЯ РОССИЯ"" муниципального образования муниципального округа округ Петровский"
+Участковая избирательная комиссия №1646	ТИК № 54	Таннер Елена Феликсовна	Член	"Региональное отделение в Санкт-Петербурге Всероссийской политической партии ""ПАРТИЯ РОСТА"""
-Участковая избирательная комиссия №1647	ТИК № 54	Каретин Кирилл Александрович	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №1647	ТИК № 54	Каретин Кирилл Александрович	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №1648	ТИК № 54	Гацоева Светлана Кирилловна	Председатель	"Местное отделение Всероссийской политической партии ""ЕДИНАЯ РОССИЯ"" муниципального образования муниципального округа округ Петровский"
-Участковая избирательная комиссия №1648	ТИК № 54	Прудников Максим Викторович	Зам.председателя	"Региональное отделение в Санкт-Петербурге Политической партии ""Российская экологическая партия ""Зелёные"""
-Участковая избирательная комиссия №1648	ТИК № 54	Семенцов Александр Дмитриевич	Секретарь	"Региональное отделение в Санкт-Петербурге Всероссийской политической партии ""ПАРТИЯ РОСТА"""
-Участковая избирательная комиссия №1648	ТИК № 54	Белецкая Светлана Викторовна	Член	собрание избирателей по месту жительства
-Участковая избирательная комиссия №1648	ТИК № 54	Гусарова Татьяна Армазовна	Член	Петроградское местное (районное) отделение Санкт-Петербургского городского отделения политической партии «Коммунистическая партия Российской Федерации»
+Участковая избирательная комиссия №1648	ТИК № 54	Широкова Екатерина Валерьевна	Председатель	"Местное отделение Всероссийской политической партии ""ЕДИНАЯ РОССИЯ"" муниципального образования муниципального округа округ Петровский"
+Участковая избирательная комиссия №1648	ТИК № 54	Куценко Александр Юрьевич	Зам.председателя	Петроградское местное (районное) отделение Санкт-Петербургского городского отделения политической партии «Коммунистическая партия Российской Федерации»
+Участковая избирательная комиссия №1648	ТИК № 54	Воскресенская Анастасия Эдуардовна	Секретарь	представительный орган муниципального образования
+Участковая избирательная комиссия №1648	ТИК № 54	Былич Оксана Владиславна	Член	собрание избирателей по месту жительства
+Участковая избирательная комиссия №1648	ТИК № 54	Иванова Ангелина Витальевна	Член	"Санкт-Петербургское региональное отделение политической партии ""Российская объединенная демократическая партия ""ЯБЛОКО"""
-Участковая избирательная комиссия №1648	ТИК № 54	Симанкова Ольга Сергеевна	Член	собрание избирателей по месту жительства
-Участковая избирательная комиссия №1648	ТИК № 54	Чернышов Сергей Владимирович	Член	представительный орган муниципального образования
-Участковая избирательная комиссия №1648	ТИК № 54	Чирков Александр Петрович	Член	"Санкт-Петербургское региональное отделение политической партии ""Российская объединенная демократическая партия ""ЯБЛОКО"""
+Участковая избирательная комиссия №1648	ТИК № 54	Малаховская Анна Владимировна	Член	собрание избирателей по месту жительства
+Участковая избирательная комиссия №1648	ТИК № 54	Михайлова Татьяна Михайловна	Член	собрание избирателей по месту жительства
+Участковая избирательная комиссия №1648	ТИК № 54	Орешникова Ритта Викторовна	Член	представительный орган муниципального образования
+Участковая избирательная комиссия №1648	ТИК № 54	Селезнев Василий Николаевич	Член	представительный орган муниципального образования
+Участковая избирательная комиссия №1648	ТИК № 54	Семенцов Александр Дмитриевич	Член	"Региональное отделение в Санкт-Петербурге Всероссийской политической партии ""ПАРТИЯ РОСТА"""
-Участковая избирательная комиссия №1649	ТИК № 54	Павлова Елена Вячеславовна	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №1649	ТИК № 54	Павлова Елена Вячеславовна	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №1652	ТИК № 54	Сысоева Галина Александровна	Председатель	"Региональное отделение в Санкт-Петербурге Всероссийской политической партии ""ПАРТИЯ РОСТА"""
-Участковая избирательная комиссия №1652	ТИК № 54	Лапченко Мария Эдуардовна	Зам.председателя	представительный орган муниципального образования
-Участковая избирательная комиссия №1652	ТИК № 54	Шилова Виктория Владимировна	Секретарь	Петроградское местное (районное) отделение Санкт-Петербургского городского отделения политической партии «Коммунистическая партия Российской Федерации»
-Участковая избирательная комиссия №1652	ТИК № 54	Александрова Ирина Валерьевна	Член	собрание избирателей по месту работы
+Участковая избирательная комиссия №1652	ТИК № 54	Гранкина Елена Александровна	Председатель	собрание избирателей по месту работы
+Участковая избирательная комиссия №1652	ТИК № 54	Агафонов Ян Олегович	Зам.председателя	представительный орган муниципального образования
+Участковая избирательная комиссия №1652	ТИК № 54	Цветкова Елена Владимировна	Секретарь	собрание избирателей по месту работы
-Участковая избирательная комиссия №1652	ТИК № 54	Григорьева Ольга Ивановна	Член	собрание избирателей по месту работы
+Участковая избирательная комиссия №1652	ТИК № 54	Клейменова Лидия Георгиевна	Член	"Местное отделение Всероссийской политической партии ""ЕДИНАЯ РОССИЯ"" муниципального образования муниципального округа округ Петровский"
-Участковая избирательная комиссия №1652	ТИК № 54	Трошина Елена Феликсовна	Член	"Местное отделение Всероссийской политической партии ""ЕДИНАЯ РОССИЯ"" муниципального образования муниципального округа округ Петровский"
+Участковая избирательная комиссия №1652	ТИК № 54	Лапченко Мария Эдуардовна	Член	представительный орган муниципального образования
+Участковая избирательная комиссия №1652	ТИК № 54	Сидорова Галина Олеговна	Член	"Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""
+Участковая избирательная комиссия №1652	ТИК № 54	Смирнов Антон Викторович	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
+Участковая избирательная комиссия №1652	ТИК № 54	Сысоева Галина Александровна	Член	"Региональное отделение в Санкт-Петербурге Всероссийской политической партии ""ПАРТИЯ РОСТА"""
+Участковая избирательная комиссия №1652	ТИК № 54	Шадрина Алла Юрьевна	Член	Петроградское местное (районное) отделение Санкт-Петербургского городского отделения политической партии «Коммунистическая партия Российской Федерации»
